faculty_code,class_name,subject_code,day,start_time,end_time,room_number
FAC-101,CSE-A,CS101,Monday,09:00,10:00,Room-101
FAC-102,CSE-A,CS104,Monday,10:00,11:00,Room-101
FAC-103,CSE-A,CS102,Monday,11:15,12:15,Room-101
FAC-401,CSE-A,MA101,Monday,14:00,15:00,Room-101
FAC-105,CSE-B,CS101,Monday,09:00,10:00,Room-102
FAC-106,CSE-B,CS103,Monday,10:00,11:00,Room-102
FAC-104,CSE-B,CS105,Monday,11:15,12:15,Room-102
FAC-201,ECE-A,EC201,Monday,09:00,10:00,Room-201
FAC-202,ECE-A,EC202,Monday,10:00,11:00,Room-201
FAC-301,MECH-A,ME301,Monday,09:00,10:00,Room-301
FAC-101,CSE-A,CS101,Tuesday,09:00,10:00,Room-101
FAC-102,CSE-A,CS104,Tuesday,10:00,11:00,Room-101
FAC-103,CSE-A,CS103,Tuesday,11:15,12:15,Room-101
FAC-402,CSE-A,MA102,Tuesday,14:00,15:00,Room-101
FAC-101,CSE-A,CS101,Wednesday,09:00,10:00,Room-101
FAC-104,CSE-A,CS105,Wednesday,10:00,11:00,Room-101
FAC-102,CSE-B,CS104,Wednesday,11:15,12:15,Room-102
FAC-106,CSE-B,CS103,Wednesday,14:00,15:00,Room-102
FAC-101,CSE-B,CS101,Thursday,09:00,10:00,Room-102
FAC-103,CSE-B,CS102,Thursday,10:00,11:00,Room-102
FAC-105,CSE-A,CS102,Thursday,11:15,12:15,Room-101
FAC-102,CSE-A,CS104,Thursday,14:00,15:00,Room-101
FAC-101,CSE-A,CS101,Friday,09:00,10:00,Room-101
FAC-102,CSE-B,CS104,Friday,10:00,11:00,Room-102
FAC-106,CSE-A,CS103,Friday,11:15,12:15,Room-101
FAC-401,CSE-B,MA101,Friday,14:00,15:00,Room-102
